avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.02949,0.12018,3.1333,9.3899,7.8453,6.2694,1.0,92.593,78.677,71.562,54.053,19.406,33.322,40.437,57.946,0.0,0.0,0.0,0.0,0.04426,0.19379,0.0,0.0
0.16033,0.62294,3.1323,9.3694,7.7687,6.2691,0.9990436722983742,104.47,42.518,62.339,87.43,7.5279,69.481,49.66,24.569,0.0,0.0,0.0,0.0,1.1842,0.0,0.0,0.06224
5.5737,21.476,3.1285,9.4158,7.7955,6.3006,0.8522986631887838,108.01,44.257,69.555,74.919,3.9871,67.742,42.444,37.08,0.0,0.0,0.0,0.0,42.375,0.0,0.0,0.0
23.645,93.101,3.1486,9.3619,7.8014,6.2329,0.5947882736156351,90.494,21.493,86.238,106.82,21.505,90.506,25.761,5.1718,0.0,46.046,0.0,0.0,2.0978,0.0,1.1298,139.14
15.782,62.54,3.1207,9.3552,7.8929,6.2792,0.6867226890756303,101.56,56.409,101.21,37.411,10.435,55.59,10.781,74.588,0.0,0.0,0.0,0.0,57.445,0.0,68.95,0.0
5.2156,19.562,3.1518,9.5289,7.9093,6.3118,0.8929712460063898,102.35,82.75,43.64,71.444,9.6474,29.249,68.359,40.555,0.0,0.0,17.092,0.0,19.564,0.0,0.0,6.408
13.382,53.031,3.154,9.3626,7.8805,6.2852,0.7244488977955912,104.06,51.857,103.97,36.724,7.9369,60.143,8.0205,75.275,0.0,0.0,0.0,0.0,99.09,0.0,8.0127,0.0
33.636,133.33,3.0932,9.3842,7.8592,6.1825,0.5163442294863242,109.35,35.611,40.74,110.88,2.643,76.388,71.259,1.1152,0.0,0.0,0.0,0.0,85.601,0.0,0.0,192.2
7.9358,31.738,3.1426,9.3947,7.8566,6.3129,0.7993442622950819,101.45,17.508,82.054,99.018,10.548,94.491,29.945,12.981,0.0,17.841,0.0,0.0,43.185,0.0,0.0,0.44691
8.4851,34.325,3.1375,9.4365,7.8831,6.3313,0.7526673132880698,65.173,107.74,41.939,81.934,46.826,4.2505,70.06,30.065,0.0,0.0,0.0,0.0,0.0,68.306,0.0,0.0
