avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.01497,0.05805,3.1472,9.4257,7.8552,6.2636,1.0,80.023,78.259,47.661,42.894,23.976,25.74,56.338,61.105,0.0,0.0,0.0,0.0,0.0,0.11397,0.0,0.0
14.004,56.688,3.1545,9.4603,7.8661,6.2911,0.6228239845261122,103.78,39.768,29.471,75.814,0.2123,64.231,74.528,28.185,0.0,0.0,0.02958,0.0,98.82,0.0,0.0,13.231
0.28207,1.078,3.1625,9.4975,7.9146,6.3114,0.9976697736351531,86.653,33.531,60.363,68.245,17.346,70.468,43.636,35.754,0.0,0.6093,0.0,0.0,1.5035,0.0,0.0,0.0
0.5116,1.9836,3.1449,9.4068,7.7685,6.2736,0.9921363040629095,75.411,28.359,58.548,86.877,28.588,75.64,45.451,17.122,0.0,2.9699,0.0,0.0,0.0,0.0,0.0,0.99057
5.4274,21.233,3.1324,9.2638,7.844,6.2755,0.856631989596879,91.766,46.433,68.224,42.284,12.233,57.566,35.775,61.715,0.0,0.05261,0.0,0.0,41.003,0.0,0.0,0.0
0.1573,0.57782,3.1482,9.485,7.8837,6.2442,0.9974819011646208,82.046,50.819,78.974,37.123,21.953,53.18,25.025,66.876,0.0,0.0,0.0,0.0,0.0,0.0,1.1444,0.0
0.04344,0.16892,3.1354,9.3912,7.8658,6.267,0.9996786632390745,77.039,61.405,84.581,25.778,26.96,42.594,19.418,78.221,0.0,0.0,0.0,0.00748,0.33177,0.0,0.0,0.0
39.3,155.09,3.1341,9.4528,7.8547,6.2794,0.6318135070277683,100.45,37.697,26.381,84.045,3.5459,66.302,77.618,19.954,0.0,0.0,0.0,0.0,306.73,0.0,0.0,0.32845
21.164,83.662,3.1481,9.4397,7.8145,6.2961,0.6510282776349614,89.317,17.947,44.036,98.48,14.682,86.052,59.963,5.5195,0.0,4.6533,0.0,0.0,60.84,0.0,0.0,108.94
4.3194,17.127,3.1858,9.446,7.8843,6.3236,0.8847489737922324,42.819,80.892,29.296,95.931,61.18,23.107,74.703,8.0688,0.0,0.0,0.00604,0.0,0.0,0.7769,0.0,33.334
8.4502,33.865,3.13,9.4263,7.8378,6.2484,0.7722804718217562,100.14,10.568,46.593,92.737,3.8569,93.431,57.406,11.262,0.0,7.3643,0.0,0.0,30.668,0.0,0.0,30.424
13.704,54.391,3.1447,9.5183,7.8763,6.3247,0.7067103109656301,99.398,39.784,55.918,53.576,4.6017,64.215,48.081,50.423,0.0,0.0,0.0,0.0,108.37,0.0,0.0,0.0
9.2412,36.253,3.1535,9.3745,7.9256,6.3544,0.7948308870453095,96.32,35.911,40.442,76.213,7.6793,68.088,63.557,27.786,0.0,0.0,0.0,0.0,71.455,0.0,0.0,0.46406
18.314,71.463,3.1408,9.4924,7.9696,6.3393,0.6242225859247136,78.235,45.75,22.136,103.44,25.764,58.249,81.863,0.55038,0.0,0.0,3.5587,0.0,0.1224,0.0,0.0,143.87
3.9448,15.237,3.1562,9.4601,7.9964,6.3277,0.9115015974440894,91.018,52.399,12.354,94.541,12.981,51.6,91.645,9.4589,0.0,0.0,7.443,0.0,2.7044,0.0,0.0,24.021
0.82079,3.2504,3.1553,9.4584,7.9269,6.2912,0.9816164817749604,70.03,35.683,57.045,87.274,33.969,68.316,46.954,16.725,0.0,6.0807,0.0,0.0,0.05548,0.0,0.0,0.23725
26.038,104.13,3.1714,9.4479,7.8809,6.3642,0.5242098184263618,99.107,6.9504,45.383,101.77,4.8925,97.049,58.616,2.2274,0.0,25.707,0.0,0.0,54.062,0.0,0.0,129.78
6.7512,26.998,3.1547,9.4419,7.8667,6.3287,0.8579270261543429,56.09,19.381,74.82,98.667,47.909,84.618,29.179,5.3328,0.0,0.91072,0.0,0.0,0.0,0.0,0.0,53.73
3.4863,13.627,3.2062,9.6362,7.9318,6.3637,0.9101449275362319,95.156,59.742,39.163,54.826,8.8436,44.257,64.836,49.173,0.0,0.0,0.0,0.0,28.553,0.0,0.0,0.0
6.8506,27.462,3.1351,9.4798,7.9022,6.3815,0.8361763759253299,47.972,88.825,26.688,85.581,56.027,15.174,77.311,18.418,0.0,0.0,0.92764,0.0,0.0,6.1071,0.0,48.634
20.58,79.965,3.1796,9.4842,7.87,6.2986,0.6351917499194328,88.2,51.717,17.756,98.648,15.799,52.282,86.243,5.3515,0.0,0.0,39.69,0.0,70.622,0.0,0.0,56.741
0.0,0.0,3.1634,9.4427,7.9281,6.3457,1.0,57.462,50.395,72.536,68.431,46.537,53.604,31.463,35.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2695,28.765,3.1333,9.3424,7.8466,6.2891,0.818241469816273,35.412,50.174,63.273,99.795,68.587,53.825,40.726,4.2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.204
8.7128,34.898,3.1326,9.4567,7.8754,6.2997,0.8289430894308943,56.394,26.793,66.695,99.127,47.605,77.206,37.304,4.8723,0.0,1.5486,0.0,0.0,0.0,0.0,0.0,69.261
34.465,134.33,3.1329,9.4656,7.9452,6.287,0.5411328388401888,102.11,56.309,28.431,77.039,1.8803,47.69,75.568,26.96,0.0,0.0,78.919,0.0,168.72,0.0,0.0,33.435
10.216,40.575,3.1543,9.4564,7.9608,6.3305,0.7868852459016393,97.116,38.797,50.472,62.517,6.8832,65.202,53.527,41.482,0.0,0.0,0.0,0.0,79.797,0.0,0.0,0.0
3.2313,12.845,3.1536,9.4467,7.8304,6.2714,0.9225609756097561,92.5,45.68,24.785,86.348,11.499,58.319,79.214,17.651,0.0,0.0,1.1411,0.0,24.73,0.0,0.0,0.2747
2.6373,10.334,3.1722,9.5332,7.8843,6.3509,0.934899968243887,81.63,32.693,44.472,90.099,22.369,71.306,59.527,13.9,0.0,0.0,0.0,0.0,15.559,0.0,0.0,5.0135
22.491,89.453,3.1462,9.3891,7.9121,6.3284,0.5307317073170732,70.12,9.5557,77.992,101.26,33.879,94.444,26.007,2.734,0.0,55.101,0.0,0.0,1.4414,0.0,10.741,114.46
34.54,136.65,3.1615,9.4014,7.8534,6.3525,0.555593335600136,99.694,63.082,11.491,89.097,4.3058,40.917,92.508,14.902,0.0,0.0,82.659,0.0,188.14,0.0,0.0,7.4527
2.0922,8.4106,3.155,9.3904,7.8402,6.3013,0.9515865227347072,72.179,65.142,18.809,93.788,31.82,38.857,85.19,10.211,0.0,0.0,6.3236,0.0,0.0,0.0,0.0,13.747
6.1107,24.819,3.1472,9.4299,7.7852,6.255,0.8471502590673575,84.549,21.791,74.016,68.433,19.45,82.208,29.983,35.566,0.0,0.0,0.0,0.0,48.208,0.0,1.3814,0.0
9.0894,5.4536,3.1599,9.4788,7.9116,6.302,1.0,82.716,46.869,53.418,65.921,21.283,57.13,50.581,38.078,0.0,0.0,0.0,0.0,0.00108,0.0,0.0,0.0
20.498,79.414,3.134,9.3963,7.9572,6.2601,0.7342493297587132,88.67,24.189,85.651,51.007,15.329,79.81,18.348,52.992,0.0,4.6345,0.0,0.0,81.502,0.0,79.085,0.0
