avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.00125,0.00377,3.1451,9.4523,7.8719,6.2701,1.0,91.781,85.74,55.94,55.427,21.218,27.259,57.059,57.572,0.0,0.0,0.0,0.0,0.0,0.00741,0.0,0.0
33.219,128.06,3.1593,9.5722,7.9088,6.3395,0.46125211505922165,112.8,18.729,62.074,95.693,0.19179,94.27,50.925,17.306,0.0,4.2319,0.0,0.0,157.83,0.0,0.0,101.2
5.7457,23.183,3.1348,9.468,7.9264,6.3293,0.8327212020033389,106.65,47.624,43.311,91.13,6.3468,65.375,69.688,21.869,0.0,0.0,0.0,0.0,14.422,0.0,0.0,31.737
0.07725,0.31726,3.1538,9.4166,7.8429,6.2682,0.9993508601103538,81.285,44.237,67.735,95.481,31.714,68.762,45.264,17.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63145
2.8814,11.046,3.1045,9.2729,7.8577,6.226,0.9174884944115713,99.995,64.783,90.512,33.373,13.004,48.216,22.487,79.626,0.0,0.0,0.0,0.0,22.969,0.0,0.0,0.0
0.46606,1.7856,3.1263,9.4411,7.8531,6.2187,0.994256541161455,94.918,71.635,86.645,35.714,18.081,41.364,26.354,77.285,0.0,0.0,0.0,0.0,3.42,0.0,0.29894,0.0
0.1032,0.39692,3.1428,9.3724,7.902,6.2455,0.9996696399074991,88.424,72.175,94.846,33.256,24.575,40.824,18.153,79.743,0.0,0.0,0.0,0.0,0.78994,0.0,0.0,0.0
34.092,134.29,3.1281,9.376,7.7596,6.297,0.5140562248995983,109.71,59.903,12.862,109.76,3.2853,53.096,100.13,3.2369,0.0,0.0,20.62,0.0,217.32,0.0,0.0,37.24
12.774,50.805,3.158,9.4358,7.874,6.25,0.7540071965979719,98.05,17.052,77.119,106.43,14.949,95.947,35.88,6.5697,0.0,52.283,0.0,0.0,7.4902,0.0,4.3822,36.123
1.6329,6.3157,3.1401,9.4358,7.9105,6.3134,0.9715654952076678,62.747,99.103,29.086,98.919,50.252,13.896,83.913,14.08,0.0,0.0,5.246,0.0,0.0,0.32271,0.0,7.6016
