avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.95636,3.7862,3.1283,9.4265,7.8638,6.2739,0.9779460171165241,73.887,48.438,37.603,18.074,49.112,74.561,85.396,104.92,0.0,0.0,0.0,7.6125,0.0,0.0,0.0,0.0
12.275,50.574,3.152,9.4959,7.8428,6.2892,0.7464509739187851,110.34,47.262,7.416,29.113,12.655,75.737,115.58,93.886,0.0,0.0,97.008,0.0,2.4748,0.0,0.0,0.0
3.5099,13.665,3.1439,9.4129,7.8562,6.3312,0.9150113969391078,94.001,15.767,25.923,44.702,28.998,107.23,97.076,78.297,0.0,18.986,0.44488,0.0,7.2808,0.0,0.0,0.0
6.5611,26.822,3.1449,9.4177,7.7706,6.2651,0.8297515110812625,61.832,12.204,42.788,69.855,61.167,110.79,80.211,53.144,0.0,54.915,0.0,0.0,0.0,0.0,0.0,0.0
15.403,61.031,3.12,9.3251,7.8898,6.2432,0.7354361120051497,85.488,56.432,52.782,3.7933,37.511,66.567,70.217,119.2,0.0,1.1916,0.0,120.61,1.8483,0.0,0.0,0.0
4.6021,18.08,3.1517,9.4358,7.8475,6.255,0.9119555143651529,59.408,28.258,80.61,14.313,63.591,94.741,42.389,108.68,0.0,28.642,0.0,0.52286,0.0,0.0,7.3937,0.0
0.0017,0.00912,3.1419,9.3771,7.8625,6.2852,1.0,46.724,54.904,54.691,20.591,76.275,68.095,68.308,102.4,0.0,0.0,0.0,0.01825,0.0,0.0,0.0,0.0
22.841,90.429,3.1282,9.4519,7.8231,6.2482,0.844187675070028,68.201,10.299,45.296,93.81,54.798,112.7,77.703,29.189,0.0,182.32,1.7248,0.0,0.0,0.0,1.7996,6.3554
16.219,63.174,3.1342,9.4516,7.8948,6.3069,0.6539473684210526,81.217,5.3487,20.579,93.154,41.782,117.65,102.42,29.845,0.0,54.929,69.835,0.0,2.4767,0.0,0.0,0.07069
1.8047,7.457,3.1517,9.4062,7.9137,6.2992,0.957663782447466,27.03,90.456,8.4883,53.871,95.969,32.543,114.51,69.128,0.0,0.0,14.492,0.0,0.0,0.56038,0.0,0.0
11.311,45.028,3.1481,9.387,7.7828,6.2365,0.765399737876802,97.804,1.9209,23.472,71.41,25.195,121.07,99.527,51.589,0.0,49.992,38.874,0.0,1.6583,0.0,0.0,2.5367
17.133,69.069,3.158,9.5609,7.878,6.3265,0.7874875868917577,95.591,17.381,17.089,71.502,27.408,105.61,105.91,51.497,0.0,0.00173,131.84,0.0,5.8689,0.0,0.0,4.8094
0.88841,3.3539,3.1538,9.4793,7.8854,6.3058,0.9820971867007673,69.488,19.136,32.764,57.221,53.511,103.86,90.235,65.778,0.0,6.8281,0.05613,0.0,0.0,0.0,0.0,0.0
11.967,47.793,3.1716,9.4547,7.8918,6.3463,0.751185583306987,55.966,32.591,5.4728,100.82,67.033,90.408,117.52,22.171,0.0,0.0,94.778,0.0,0.0,0.0,0.0,2.6463
26.365,104.53,3.1339,9.4063,7.8307,6.2746,0.6635482793184097,91.733,12.902,6.0023,102.08,31.266,110.09,116.99,20.913,0.0,181.07,10.867,0.0,4.3164,0.0,0.0,18.532
4.1104,16.893,3.1556,9.4855,7.9178,6.3168,0.9083496412263535,48.62,22.226,42.719,69.734,74.379,100.77,80.28,53.265,0.0,33.757,0.0,0.0,0.0,0.0,0.0,0.0
27.648,111.9,3.167,9.4476,7.8854,6.3296,0.6842636180228648,95.096,1.9233,31.932,91.519,27.903,121.07,91.067,31.48,0.0,229.27,0.008,0.0,0.0234,0.0,0.0,1.6048
86.888,338.82,3.1623,9.4652,7.8875,6.2997,0.44203646370829036,93.92,0.42514,82.274,111.7,29.079,122.57,40.725,11.299,0.0,613.09,0.0,0.0,19.368,0.0,0.0,76.772
0.0,0.0,3.1879,9.488,7.8299,6.3444,1.0,82.287,27.429,33.575,33.465,40.712,95.57,89.424,89.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74926,2.9667,3.1498,9.4515,7.8463,6.3461,0.9839816933638444,52.383,52.615,14.965,57.91,70.616,70.384,108.03,65.089,0.0,0.0,6.1398,0.0,0.0,0.0,0.0,0.0
2.2726,9.4828,3.1657,9.6014,7.9699,6.3737,0.937733499377335,37.113,31.794,9.4091,102.09,85.887,91.205,113.59,20.903,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.70155
0.0,0.0,3.1634,9.4427,7.9281,6.3457,1.0,39.462,32.395,54.536,50.431,83.537,90.604,68.463,72.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7282,34.725,3.1567,9.4257,7.8608,6.3457,0.7982917214191853,39.622,23.279,16.673,103.49,83.377,99.72,106.32,19.501,0.0,24.69,10.918,0.0,0.0,0.0,0.0,37.864
3.9438,15.061,3.1238,9.412,7.8211,6.2887,0.9098740888005301,17.266,9.7601,78.362,78.233,105.73,113.23,44.637,44.766,2.8172,28.37,0.0,0.0,0.0,0.0,2.4201,0.0
8.4338,33.792,3.1469,9.432,7.9021,6.2976,0.7655960469425571,97.007,39.32,48.519,3.3441,25.992,83.679,74.48,119.65,0.0,0.0,0.0,59.149,8.5137,0.0,0.0,0.0
3.0903,12.498,3.1207,9.3717,7.8543,6.2781,0.9409282700421941,88.949,15.6,33.458,43.284,34.05,107.39,89.541,79.715,0.0,24.549,0.0,0.0,0.09005,0.0,0.0,0.0
42.341,166.9,3.1675,9.5695,7.9412,6.3382,0.6116678596993558,72.128,8.4379,27.241,114.28,50.871,114.56,95.758,8.7143,0.0,223.27,16.784,0.0,0.00213,0.0,0.0,114.98
0.95817,4.1242,3.1481,9.4405,7.8252,6.29,0.9700409965310628,43.497,19.237,28.278,87.532,79.502,103.76,94.721,35.467,0.0,7.8581,0.42373,0.0,0.0,0.0,0.0,0.03495
47.895,195.01,3.1474,9.437,7.8453,6.3284,0.5778534923339012,40.828,3.0867,106.29,96.786,82.171,119.91,16.702,26.213,0.0,381.07,0.0,0.0,0.0,0.0,9.3973,2.0831
23.309,89.582,3.1505,9.4537,7.8877,6.3014,0.7363396971691902,85.012,6.6867,43.7,74.176,37.987,116.31,79.299,48.823,0.0,182.07,0.0,0.0,0.0,0.0,0.0,0.0
27.171,102.51,3.1266,9.4428,7.8906,6.2892,0.7639077340569878,62.065,30.087,11.087,107.36,60.934,92.912,111.91,15.635,0.0,4.0731,157.98,0.0,1.9924,0.0,0.0,66.45
13.644,55.224,3.1348,9.3727,7.7996,6.2526,0.6942042907460775,55.372,4.4848,90.112,43.457,67.627,118.51,32.887,79.542,0.0,90.703,0.0,0.0,0.0,0.0,20.294,0.0
0.0,0.0,3.1599,9.4788,7.9116,6.302,1.0,64.716,28.869,35.417,47.921,58.283,94.13,87.582,75.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87734,3.4907,3.1271,9.4258,7.918,6.2814,0.9863503412414689,65.248,16.853,69.599,26.285,57.751,106.14,53.4,96.714,0.0,6.8388,0.0,0.16526,0.0,0.0,0.0,0.0
59.472,232.96,3.1464,9.4531,7.8371,6.2356,0.4851351351351351,68.143,3.0654,98.914,76.683,54.856,119.93,24.085,46.316,0.0,387.97,0.0,0.0,0.0,0.0,102.04,0.0
14.667718285714288,58.02116057142857,3.1477228571428566,9.445317142857142,7.8683714285714315,6.299191428571428,0.8205320947221596,67.64125714285714,23.739246857142852,40.51532857142857,64.68541142857141,55.357571428571426,99.25731428571426,82.48265714285715,58.311694285714296,0.08049142857142857,80.47012657142857,19.159238285714284,5.373653428571428,1.5975394285714284,0.016010857142857143,4.095562857142856,9.584025428571428
