avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.00125,0.00377,3.1451,9.4523,7.8719,6.2701,1.0,87.781,81.74,51.94,51.427,21.218,27.259,57.059,57.572,0.0,0.0,0.0,0.0,0.0,0.00741,0.0,0.0
44.303,178.81,3.1588,9.4632,7.8599,6.3269,0.5025536261491318,108.8,14.052,77.783,89.569,0.19179,94.947,31.216,19.43,0.0,92.022,0.0,0.0,248.34,0.0,5.1603,22.047
5.7457,23.183,3.1348,9.468,7.9264,6.3293,0.8327212020033389,102.65,43.624,39.311,87.13,6.3468,65.375,69.688,21.869,0.0,0.0,0.0,0.0,14.422,0.0,0.0,31.737
0.07725,0.31726,3.1538,9.4166,7.8429,6.2682,0.9993508601103538,77.285,40.237,63.735,91.481,31.714,68.762,45.264,17.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63145
2.8814,11.046,3.1045,9.2729,7.8577,6.226,0.9174884944115713,95.995,60.783,86.512,29.373,13.004,48.216,22.487,79.626,0.0,0.0,0.0,0.0,22.969,0.0,0.0,0.0
0.46606,1.7856,3.1263,9.4411,7.8531,6.2187,0.994256541161455,90.918,67.635,82.645,31.714,18.081,41.364,26.354,77.285,0.0,0.0,0.0,0.0,3.42,0.0,0.29894,0.0
0.03033,0.11361,3.1246,9.3489,7.8801,6.2392,1.0,82.416,71.514,91.384,27.435,26.583,37.485,17.615,81.564,0.0,0.0,0.0,0.12305,0.0022,0.0,0.09825,0.0
28.593,114.14,3.1297,9.3702,7.7941,6.2935,0.5872036375446573,105.71,60.05,11.995,96.063,3.2853,48.949,97.004,12.936,0.0,0.0,5.8305,0.0,211.39,0.00624,0.0,16.013
36.08,138.89,3.1593,9.4793,7.8603,6.2824,0.617190082644628,96.846,12.504,69.031,102.66,12.153,96.495,39.968,6.3384,0.0,45.599,0.0,0.0,117.12,0.0,0.0,124.95
0.03991,0.17633,3.1623,9.4852,7.9343,6.3312,1.0,64.146,89.769,29.502,89.389,44.853,19.23,79.497,19.61,0.0,0.0,6.2611,0.0,0.0367,0.3291,0.0,0.0
11.141,43.766,3.1373,9.4715,7.8967,6.2417,0.770854271356784,67.191,12.48,93.766,99.435,41.808,96.519,15.233,9.5649,0.0,1.2132,0.0,0.0,0.35238,0.0,7.1526,78.455
