avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.00125,0.00377,3.1451,9.4523,7.8719,6.2701,1.0,88.781,82.74,52.94,52.427,21.218,27.259,57.059,57.572,0.0,0.0,0.0,0.0,0.0,0.00741,0.0,0.0
36.079,141.91,3.1711,9.4428,7.882,6.369,0.46185286103542234,107.48,14.513,77.6,92.323,2.5169,95.486,32.399,17.676,0.0,81.341,0.0,0.0,83.257,0.0,0.38836,128.37
5.7457,23.183,3.1348,9.468,7.9264,6.3293,0.8327212020033389,103.65,44.624,40.311,88.13,6.3468,65.375,69.688,21.869,0.0,0.0,0.0,0.0,14.422,0.0,0.0,31.737
0.07725,0.31726,3.1538,9.4166,7.8429,6.2682,0.9993508601103538,78.285,41.237,64.735,92.481,31.714,68.762,45.264,17.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63145
2.8814,11.046,3.1045,9.2729,7.8577,6.226,0.9174884944115713,96.995,61.783,87.512,30.373,13.004,48.216,22.487,79.626,0.0,0.0,0.0,0.0,22.969,0.0,0.0,0.0
0.46606,1.7856,3.1263,9.4411,7.8531,6.2187,0.994256541161455,91.918,68.635,83.645,32.714,18.081,41.364,26.354,77.285,0.0,0.0,0.0,0.0,3.42,0.0,0.29894,0.0
6.051,22.638,3.1133,9.3709,7.8925,6.248,0.8955622288955623,86.526,76.967,91.801,26.285,23.473,33.032,18.198,83.714,0.0,0.0,0.0,25.547,23.831,0.0,5.3495,0.0
33.293,132.78,3.1374,9.4287,7.8853,6.3075,0.5712418300653594,106.71,40.269,23.146,106.61,3.2853,69.73,86.853,3.3834,0.0,0.0,0.00313,0.0,239.35,0.0,0.0,24.754
3.1266,12.21,3.1506,9.4451,7.8901,6.2991,0.9278283485045513,96.492,22.326,57.783,100.19,13.507,87.673,52.216,9.8049,0.0,0.2828,0.0,0.0,20.244,0.0,0.0,3.8844
3.1325,12.034,3.1454,9.4442,7.934,6.3377,0.9245161290322581,59.803,97.527,26.448,95.96,50.196,12.472,83.551,14.039,0.0,0.0,13.272,0.0,0.0,1.706,0.0,12.322
13.686,53.535,3.1206,9.4472,7.9633,6.2303,0.7249753856252051,71.111,11.862,95.453,100.43,38.888,98.137,14.546,9.5649,0.0,11.261,0.0,0.0,0.34397,0.0,16.733,82.516
15.517,60.223,3.1493,9.4631,7.8938,6.3396,0.7560410460112545,105.24,25.969,66.087,83.885,4.7567,84.03,43.912,26.114,0.0,23.475,0.0,0.0,81.282,0.0,0.0,22.256
14.767,59.035,3.1612,9.456,7.9786,6.3798,0.7468193384223919,102.97,44.935,57.095,71.913,7.0217,65.064,52.904,38.086,0.0,0.0,0.0,0.0,118.67,0.0,0.0,0.0
24.325,93.477,3.1519,9.4157,7.906,6.3034,0.5966688438928804,66.805,47.295,53.054,109.5,43.194,62.704,56.945,0.49812,0.0,0.00354,0.0,0.0,0.0,0.0,0.0,191.1
4.8494,19.196,3.139,9.4453,7.8857,6.2844,0.8700384122919335,106.87,81.077,20.24,68.836,3.1284,28.922,89.759,41.163,0.0,0.0,1.0676,0.0,36.766,0.0,0.0,0.0
8.8658,34.928,3.1549,9.4477,7.9037,6.283,0.7619509043927648,91.313,50.57,31.122,104.36,18.686,59.429,78.877,5.6353,0.0,0.0,3.3511,0.0,57.581,0.0,0.0,8.7028
4.7492,18.188,3.1507,9.4106,7.8028,6.3127,0.8963949334199416,72.797,17.209,86.051,101.78,37.202,92.791,23.948,8.2163,0.0,5.4673,0.0,0.0,0.0,0.0,15.655,18.028
7.8906,32.161,3.1507,9.4272,7.9331,6.3202,0.822527832351015,103.2,14.061,72.817,87.061,6.7906,95.938,37.182,22.938,0.0,2.209,0.0,0.0,45.532,0.0,0.0,16.21
7.1918,28.726,3.2188,9.5851,7.8768,6.3616,0.7973539851565021,101.74,69.007,45.093,61.014,8.2533,40.992,64.906,48.985,0.0,0.0,0.0,0.0,58.497,0.0,0.0,0.0
5.6683,21.568,3.1554,9.4648,7.8284,6.3484,0.841833440929632,66.329,88.698,31.308,92.231,43.67,21.301,78.691,17.768,0.0,0.0,9.8865,0.0,0.0,0.0,0.0,34.661
19.986,78.986,3.1817,9.5502,7.8801,6.3106,0.6152324431256182,80.349,81.408,16.371,105.88,29.65,28.591,93.628,4.1118,0.0,0.0,38.303,0.0,5.8706,0.0,0.0,117.89
0.0,0.0,3.1634,9.4427,7.9281,6.3457,1.0,64.462,57.395,79.536,75.431,45.537,52.604,30.463,34.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7845,7.0359,3.1327,9.3455,7.7647,6.2363,0.9599369085173501,48.497,60.966,65.442,101.95,61.502,49.033,44.557,8.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.929
24.37,94.766,3.128,9.3832,7.7853,6.2912,0.6750672043010753,83.396,28.368,63.91,107.35,26.603,81.631,46.089,2.6447,0.0,32.576,0.0,0.0,3.7941,0.0,0.17249,164.17
21.397,83.437,3.1263,9.4548,7.8853,6.3244,0.5773092369477911,108.25,60.46,57.752,50.167,1.7432,49.539,52.247,59.832,0.0,0.0,0.0,0.0,168.82,0.0,0.0,0.0
1.4402,5.8836,3.1449,9.4757,7.9131,6.2876,0.9736588499839384,85.015,48.608,57.049,86.235,24.984,61.391,52.95,23.764,0.0,0.0,0.0,0.0,0.00788,0.0,0.0,11.592
36.271,140.62,3.1514,9.4504,7.8409,6.3166,0.571571906354515,92.003,30.351,46.444,107.78,17.996,79.648,63.555,2.2103,0.0,0.0,0.0,0.0,57.015,0.0,0.0,233.39
1.7189,6.8119,3.1556,9.5061,7.8174,6.2657,0.9626198083067092,68.389,54.768,51.676,102.03,41.61,55.231,58.323,7.9636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.373
94.307,360.89,3.1417,9.3986,7.841,6.2677,0.39400584795321636,88.964,9.051,105.25,107.56,21.035,100.94,4.7462,2.4375,0.0,200.37,0.0,0.0,172.46,0.0,147.66,264.39
4.519,17.948,3.1645,9.4462,7.9033,6.3087,0.895017235976183,98.319,57.979,20.25,101.49,11.68,52.02,89.749,8.5084,0.0,0.0,5.5982,0.0,2.3943,0.0,0.0,27.675
16.164,62.979,3.1458,9.4321,7.8686,6.305,0.7224801061007957,96.975,33.027,38.907,107.8,13.024,76.972,71.092,2.1972,0.0,0.0,0.0,0.0,95.663,0.0,0.0,34.286
0.15688,0.592,3.1197,9.3736,7.8026,6.2546,0.9990521327014218,84.83,59.951,61.98,70.076,25.169,50.048,48.019,39.923,0.0,0.0,0.0,0.0,0.87392,0.0,0.30769,0.0
0.18269,0.70967,3.1536,9.493,7.9487,6.3073,0.9977714103788602,90.515,59.625,60.213,66.551,19.484,50.374,49.786,43.448,0.0,0.0,0.0,0.0,1.4216,0.0,0.0,0.0
13.031,52.02,3.1571,9.4687,7.8717,6.2839,0.7479568486433475,90.764,26.707,93.124,74.526,19.235,83.292,16.875,35.473,0.0,46.673,0.0,0.0,5.45,0.0,51.023,0.0
17.706,72.166,3.1419,9.5078,7.9192,6.277,0.6623719854641559,104.37,39.884,65.863,66.557,5.6219,70.115,44.136,43.442,0.0,0.0,0.0,0.0,145.86,0.0,0.0,0.0
12.897086571428574,50.393991428571425,3.1469457142857142,9.442111428571424,7.879374285714284,6.297694285714285,0.8026707012133819,88.28894285714286,48.852914285714284,58.51451428571428,83.71102857142856,21.70876571428571,61.1458857142857,51.48440571428572,26.286509142857142,0.0,11.533104,2.0423294285714286,0.7299142857142857,41.87986771428571,0.048954571428571424,6.788228,41.59621857142857
