avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
5.4547,22.423,3.1696,9.471,7.8619,6.2898,0.8590923516344018,95.622,50.017,21.393,21.746,28.377,73.982,102.6,102.25,0.0,0.0,32.314,8.8862,3.2586,0.0,0.0,0.0
16.128,66.914,3.126,9.4725,7.899,6.3197,0.6972886762360446,102.82,41.657,7.5336,53.982,21.174,82.342,116.46,70.017,0.0,0.0,132.63,0.0,1.0611,0.0,0.0,0.0
0.70544,2.7349,3.1576,9.4583,7.9308,6.3621,0.9859201047806155,94.065,17.437,28.24,41.853,29.934,106.56,95.759,82.146,0.0,3.8572,0.0,0.0,2.306,0.0,0.0,0.0
3.0323,12.383,3.1376,9.372,7.7972,6.2689,0.911504424778761,60.537,12.862,31.634,80.438,63.462,111.13,92.365,43.561,0.0,25.098,0.0,0.0,0.0,0.0,0.0,0.14394
31.048,121.92,3.1141,9.3632,7.901,6.255,0.6037927531324078,85.17,63.847,68.092,3.584,38.829,60.152,55.907,120.41,0.0,0.0,0.0,217.9,42.262,0.0,0.0,0.0
1.055,4.2742,3.1186,9.4393,7.8732,6.2399,0.9774733637747336,68.777,32.446,70.713,10.983,55.222,91.554,53.286,113.01,0.0,0.0,0.0,8.6949,0.0,0.0,0.0,0.0
2.6045,10.807,3.1847,9.5034,7.9643,6.3718,0.9512516469038208,41.462,31.654,73.64,38.99,82.537,92.345,50.359,85.009,0.0,22.972,0.0,0.00493,0.0,0.0,0.0,0.0
47.975,182.92,3.1328,9.3668,7.8166,6.2818,0.560081466395112,79.872,5.5299,41.846,113.97,44.127,118.47,82.153,10.024,0.0,317.24,3.1925,0.0,0.24887,0.0,0.0,60.219
18.849,75.857,3.1457,9.4199,7.858,6.3125,0.688837668752058,46.56,5.5558,52.241,102.0,77.439,118.44,71.758,21.994,0.0,137.23,0.0,0.0,0.0,0.0,0.0,13.702
16.182,63.747,3.1602,9.3815,7.9022,6.2878,0.7980089916506101,35.011,90.724,5.7171,73.871,88.988,33.275,118.28,50.128,0.0,0.0,129.39,0.0,0.0,0.74528,0.0,0.0
