avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.00125,0.00377,3.1451,9.4523,7.8719,6.2701,1.0,92.781,86.74,56.94,56.427,21.218,27.259,57.059,57.572,0.0,0.0,0.0,0.0,0.0,0.00741,0.0,0.0
46.403,181.31,3.1683,9.4717,7.852,6.3317,0.47898872565767,113.8,28.351,53.92,96.581,0.19179,85.648,60.079,17.418,0.0,0.62451,0.0,0.0,287.23,0.0,0.0,81.699
5.7457,23.183,3.1348,9.468,7.9264,6.3293,0.8327212020033389,107.65,48.624,44.311,92.13,6.3468,65.375,69.688,21.869,0.0,0.0,0.0,0.0,14.422,0.0,0.0,31.737
0.07725,0.31726,3.1538,9.4166,7.8429,6.2682,0.9993508601103538,82.285,45.237,68.735,96.481,31.714,68.762,45.264,17.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63145
2.8814,11.046,3.1045,9.2729,7.8577,6.226,0.9174884944115713,100.99,65.783,91.512,34.373,13.004,48.216,22.487,79.626,0.0,0.0,0.0,0.0,22.969,0.0,0.0,0.0
0.46606,1.7856,3.1263,9.4411,7.8531,6.2187,0.994256541161455,95.918,72.635,87.645,36.714,18.081,41.364,26.354,77.285,0.0,0.0,0.0,0.0,3.42,0.0,0.29894,0.0
0.1032,0.39692,3.1428,9.3724,7.902,6.2455,0.9996696399074991,89.424,73.175,95.846,34.256,24.575,40.824,18.153,79.743,0.0,0.0,0.0,0.0,0.78994,0.0,0.0,0.0
38.646,153.73,3.1464,9.3741,7.808,6.2813,0.45948616600790515,110.71,64.977,12.008,111.66,3.2853,49.022,101.99,2.3366,0.0,0.0,36.867,0.0,217.84,0.0,0.0,61.232
4.629,18.271,3.1743,9.4933,7.8441,6.3083,0.9075409836065573,94.556,16.586,81.106,106.47,19.443,97.413,32.893,7.5203,0.0,32.369,0.0,0.0,0.0082,0.0,0.83474,3.418
5.8882,22.786,3.142,9.4192,7.8865,6.3077,0.8872229465449805,67.208,101.21,29.705,99.962,46.791,12.785,84.294,14.037,0.0,0.0,25.145,0.0,0.04011,4.8403,0.0,21.002
14.991,58.832,3.1278,9.4579,7.9391,6.2379,0.747076511861009,82.03,14.618,96.753,104.43,31.969,99.381,17.246,9.5649,0.0,25.624,0.0,0.0,0.34264,0.0,4.1179,91.588
15.418,62.135,3.1344,9.4997,7.9176,6.3274,0.7813211845102506,109.24,35.297,63.667,84.604,4.7567,78.702,50.332,29.395,0.0,0.0195,0.0,0.0,121.47,0.0,0.0,0.76802
14.767,59.035,3.1612,9.456,7.9786,6.3798,0.7468193384223919,106.97,48.935,61.095,75.913,7.0217,65.064,52.904,38.086,0.0,0.0,0.0,0.0,118.67,0.0,0.0,0.0
24.324,93.475,3.1519,9.4157,7.906,6.3034,0.5966688438928804,70.805,51.295,57.054,113.5,43.194,62.704,56.945,0.49812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.1
17.379,69.601,3.1503,9.4878,7.8853,6.3164,0.6836469824789098,111.84,78.543,28.723,73.726,2.1528,35.456,85.276,40.273,0.0,0.0,0.0,0.0,138.53,0.0,0.0,0.0
15.701,61.872,3.1619,9.4409,7.9212,6.3048,0.6846459298477829,95.313,67.268,25.899,107.54,18.686,46.731,88.1,6.4515,0.0,0.0,18.031,0.0,100.98,0.0,0.0,9.9361
4.2886,16.802,3.1469,9.3642,7.853,6.3375,0.8686673120361407,84.085,22.631,79.386,106.67,29.914,91.368,34.613,7.3204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.451
9.4999,37.915,3.1403,9.3659,7.8838,6.2815,0.8186015831134564,107.2,23.552,70.801,91.142,6.7906,90.447,43.198,22.857,0.0,0.0,0.0,0.0,55.36,0.0,0.0,25.315
7.1918,28.726,3.2188,9.5851,7.8768,6.3616,0.7973539851565021,105.74,73.007,49.093,65.014,8.2533,40.992,64.906,48.985,0.0,0.0,0.0,0.0,58.497,0.0,0.0,0.0
6.0108,22.995,3.148,9.4616,7.8628,6.35,0.8334411384217335,76.621,85.635,34.993,96.231,37.378,28.364,79.006,17.768,0.0,0.0,4.2019,0.0,6.7745,0.0,0.0,37.697
11.326,45.017,3.1791,9.539,7.8914,6.3449,0.674373795761079,73.001,95.763,18.74,109.88,40.998,18.236,95.259,4.1118,0.0,0.0,24.253,0.0,0.0,3.9133,0.0,61.663
0.0,0.0,3.1634,9.4427,7.9281,6.3457,1.0,68.462,61.395,83.536,79.431,45.537,52.604,30.463,34.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7845,7.0359,3.1327,9.3455,7.7647,6.2363,0.9599369085173501,52.497,64.966,69.442,105.95,61.502,49.033,44.557,8.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.929
19.965,77.924,3.1244,9.3553,7.8006,6.2746,0.7017252820172528,88.165,33.745,59.345,111.35,25.834,80.254,54.654,2.6447,0.0,0.0081,0.0,0.0,9.748,0.0,0.0,150.57
21.397,83.437,3.1263,9.4548,7.8853,6.3244,0.5773092369477911,112.25,64.46,61.752,54.167,1.7432,49.539,52.247,59.832,0.0,0.0,0.0,0.0,168.82,0.0,0.0,0.0
1.4402,5.8836,3.1449,9.4757,7.9131,6.2876,0.9736588499839384,89.015,52.608,61.049,90.235,24.984,61.391,52.95,23.764,0.0,0.0,0.0,0.0,0.00788,0.0,0.0,11.592
36.271,140.62,3.1514,9.4504,7.8409,6.3166,0.571571906354515,96.003,34.351,50.444,111.78,17.996,79.648,63.555,2.2103,0.0,0.0,0.0,0.0,57.015,0.0,0.0,233.39
1.7189,6.8119,3.1556,9.5061,7.8174,6.2657,0.9626198083067092,72.389,58.768,55.676,106.03,41.61,55.231,58.323,7.9636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.373
