avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.00106,0.00559,3.1575,9.435,7.8871,6.3004,1.0,79.142,52.863,28.633,32.33,47.857,74.136,98.366,94.669,0.0,0.0,0.00453,0.00657,0.0,0.0,0.0,0.0
24.97,97.517,3.1309,9.4644,7.8149,6.3069,0.6865721997300944,115.49,40.355,9.4801,48.045,11.504,86.644,117.51,78.954,0.0,0.0,111.21,0.0,90.412,0.0,0.0,0.0
0.50913,2.0662,3.1646,9.4841,7.9536,6.3634,0.9918059652572927,88.72,21.535,33.602,49.94,38.279,105.46,93.397,77.059,0.0,4.6659,0.0,0.0,0.0,0.0,0.0,0.0
5.7269,22.988,3.1402,9.3927,7.8302,6.2762,0.9148575305291723,74.601,14.722,33.219,79.178,52.398,112.27,93.78,47.821,0.0,46.786,0.0,0.0,0.0,0.0,0.0,0.00268
2.9667,11.644,3.1232,9.3362,7.8496,6.2511,0.9369828134945895,80.549,64.308,38.966,13.237,46.45,62.691,88.033,113.76,0.0,0.0,0.58508,23.292,0.0,0.0,0.0,0.0
0.59391,2.6226,3.152,9.4429,7.8298,6.2034,0.9852108244178729,77.207,42.164,60.56,13.964,49.792,84.835,66.439,113.03,0.0,0.0,0.0,5.2156,0.0,0.0,0.0,0.0
0.07177,0.27618,3.1512,9.3772,7.885,6.2929,0.9993498049414824,52.591,58.504,68.116,13.696,74.408,68.495,58.883,113.3,0.0,0.0,0.0,0.53904,0.0,0.0,0.0,0.0
27.182,111.58,3.1246,9.3539,7.8082,6.2628,0.5958583834335337,106.15,23.144,3.5525,78.805,20.846,103.85,123.44,48.194,0.0,0.05732,106.5,0.0,114.76,0.0,0.0,0.0
28.451,108.78,3.1699,9.429,7.9227,6.3338,0.676209952283572,45.042,6.7289,70.569,106.38,81.957,120.27,56.43,20.615,0.0,183.27,0.0,0.0,0.0,0.0,0.0,48.007
11.651,45.942,3.165,9.4746,7.9361,6.3298,0.8128884527314361,56.006,86.952,6.7823,60.201,70.993,40.047,120.21,66.798,0.0,0.0,91.246,0.0,0.0,0.0,0.0,0.0
95.112,385.1,3.1316,9.4964,7.836,6.3078,0.5136459062281316,119.91,0.20024,99.622,93.285,7.0862,126.79,27.377,33.714,0.0,692.1,0.0,0.0,97.821,0.0,8.9396,0.02474
20.462,80.441,3.163,9.5749,7.9604,6.332,0.7470159151193634,100.42,19.368,19.431,76.684,26.575,107.63,107.56,50.315,0.0,0.25489,128.33,0.0,17.279,0.0,0.0,19.18
40.987,162.55,3.1517,9.4567,7.8668,6.3135,0.6520428667113195,98.876,6.9907,68.616,74.387,28.123,120.0,58.383,52.612,0.0,299.95,0.0,0.0,26.682,0.0,0.0,0.0
1.9106,7.235,3.1793,9.4745,7.8483,6.3191,0.9515715202052598,47.619,38.075,10.807,98.664,79.38,88.924,116.19,28.335,0.0,0.0,13.166,0.0,0.0,0.0,0.0,1.3916
24.902,94.391,3.1539,9.4812,7.8936,6.3318,0.7385864051403449,101.12,26.985,2.3933,93.138,25.873,100.01,124.6,33.861,0.0,0.00472,168.83,0.0,32.648,0.0,0.0,7.9478
1.4775,5.5563,3.145,9.4243,7.9381,6.3062,0.9717165149544863,59.706,25.806,45.959,65.166,67.293,101.19,81.04,61.833,0.0,13.054,0.0,0.0,0.0,0.0,0.0,0.0
40.46,159.35,3.1462,9.3635,7.8241,6.3078,0.6660857441617288,89.12,2.8678,59.948,98.216,37.879,124.13,67.051,28.783,0.0,308.43,0.0,0.0,0.23399,0.0,0.0,27.556
36.716,149.74,3.1834,9.4858,7.9022,6.2988,0.5922619047619048,101.15,0.75158,58.044,85.782,25.843,126.24,68.955,41.217,0.0,278.32,0.0,0.0,19.079,0.0,0.0,0.51589
0.0,0.0,3.1879,9.488,7.8299,6.3444,1.0,86.287,31.429,37.575,37.465,40.712,95.57,89.424,89.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.357,41.233,3.1517,9.4831,7.8979,6.3486,0.8119001919385797,58.751,82.644,14.861,51.672,68.248,44.355,112.13,75.327,0.0,0.0,79.454,0.24481,0.0,0.0,0.0,0.0
0.00641,0.02666,3.1839,9.5621,7.9597,6.3458,1.0,52.946,27.513,25.202,87.374,74.053,99.486,101.79,39.625,0.0,0.05216,1.0457,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1634,9.4427,7.9281,6.3457,1.0,43.462,36.395,58.536,54.431,83.537,90.604,68.463,72.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.904,94.482,3.1371,9.3629,7.8273,6.2803,0.6691778578447429,46.349,40.546,15.284,107.52,80.65,86.453,111.71,19.476,0.0,0.0,94.399,0.0,0.0,0.0,0.0,101.69
3.638,14.948,3.1302,9.4584,7.8222,6.2732,0.9029126213592233,30.502,10.572,73.211,84.281,96.497,116.42,53.788,42.718,0.0,31.068,0.0,0.0,0.0,0.0,0.0,0.0
0.01278,0.06293,3.1832,9.5045,7.928,6.336,1.0,75.386,43.244,29.971,44.372,51.613,83.755,97.028,82.627,0.0,0.0,0.1355,0.0,0.0,0.0,0.0,0.0
11.731,46.008,3.1311,9.4114,7.8797,6.2225,0.8268785170473353,70.963,16.434,57.858,66.062,56.036,110.56,69.141,60.937,0.0,93.092,0.0,0.0,0.0,0.0,0.0,0.0
