avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
20.232,80.458,3.1451,9.4475,7.8341,6.2852,0.6626003210272873,91.063,46.898,48.268,11.559,30.936,75.101,73.731,110.44,0.0,0.0,0.0,135.6,29.42,0.0,0.0,0.0
10.063,40.704,3.1246,9.4912,7.8597,6.3225,0.7228675738466644,110.37,25.247,7.736,38.715,11.623,96.752,114.26,83.284,0.0,0.0,51.554,0.0,31.18,0.0,0.0,0.0
1.0385,4.1191,3.1423,9.4357,7.9012,6.3332,0.9795587280986372,90.562,20.47,21.511,41.793,31.437,101.52,100.48,80.206,0.0,2.6612,5.6194,0.0,0.07253,0.0,0.0,0.0
6.3367,24.507,3.143,9.3524,7.7778,6.2062,0.88108834397044,57.193,11.633,45.866,68.467,64.806,110.36,76.133,53.532,0.0,52.616,0.0,0.0,0.0,0.0,0.0,0.0
2.3328,9.1358,3.1438,9.3663,7.8896,6.3164,0.9412344057780696,75.702,27.492,63.32,9.4185,46.297,94.507,58.679,112.58,0.0,3.9562,0.0,14.422,0.0,0.0,0.0,0.0
8.9717,34.423,3.1303,9.3874,7.838,6.2402,0.7972379158819837,66.689,45.669,66.226,7.3368,55.31,76.33,55.773,114.66,0.0,0.0,0.0,69.13,0.0,0.0,0.0,0.0
0.68742,2.892,3.1611,9.4559,7.8921,6.3229,0.9878942338324307,64.295,45.176,52.623,11.863,57.704,76.823,69.376,110.13,0.0,0.0,0.0,5.7493,0.0,0.0,0.0,0.0
37.25,148.2,3.1157,9.4128,7.8358,6.2492,0.49950445986124875,73.94,32.484,1.9256,111.55,48.059,89.515,120.07,10.447,0.0,0.0,258.92,0.0,0.0,0.0,0.0,44.295
16.626,65.117,3.15,9.4669,7.8426,6.3189,0.7189830508474576,50.379,4.612,47.389,94.796,71.62,117.38,74.611,27.203,0.0,133.21,0.0,0.0,0.0,0.0,0.0,0.15566
0.74895,3.1573,3.2051,9.4855,7.9185,6.3198,0.9805950840879689,16.013,58.015,33.724,66.25,105.98,63.984,88.275,55.749,6.1435,0.0,0.01222,0.0,0.0,0.0,0.0,0.0
59.405,238.02,3.16,9.4417,7.8878,6.3142,0.51010101010101,109.74,0.58559,20.123,103.83,12.25,121.41,101.87,18.161,0.0,341.88,3.7952,0.0,90.966,0.0,0.0,46.469
3.8191,15.599,3.1544,9.4718,7.8714,6.2659,0.8936800526662277,87.768,18.096,16.676,55.683,34.231,103.9,105.32,66.316,0.0,0.65565,30.969,0.0,0.0,0.0,0.0,0.0
80.096,322.77,3.1489,9.4587,7.926,6.3256,0.49471890971039184,94.416,5.7939,96.925,84.815,27.583,116.2,25.074,37.184,0.0,578.04,0.0,0.0,17.542,0.0,68.646,0.67586
11.87,46.879,3.1715,9.5237,7.913,6.314,0.7330423102753526,51.462,16.463,7.6386,105.87,70.537,105.53,114.36,16.124,0.0,36.497,10.22,0.0,0.0,0.0,0.0,52.209
17.652,70.913,3.1442,9.382,7.8914,6.2862,0.7060147957542618,83.241,13.685,29.788,72.633,38.758,108.31,92.211,49.366,0.0,137.49,5.9732,0.0,0.0,0.0,0.0,0.0
0.48819,1.9509,3.155,9.496,7.9625,6.3253,0.9944983818770227,55.206,23.46,35.029,59.825,66.793,98.539,86.97,62.174,0.0,3.8227,0.0,0.0,0.0,0.0,0.0,0.0
15.193,60.613,3.1552,9.3449,7.8257,6.3354,0.7556874381800198,89.93,5.4612,6.3169,92.876,32.069,116.53,115.68,29.123,0.0,32.67,82.93,0.0,0.0,0.0,0.0,6.5211
33.459,128.23,3.1059,9.2629,7.7871,6.2565,0.6737426518615284,83.919,0.70816,58.151,79.385,38.08,121.29,63.848,42.614,0.0,261.93,0.0,0.0,1.3955,0.0,0.0,0.0
0.0,0.0,3.1879,9.488,7.8299,6.3444,1.0,81.287,26.429,32.575,32.465,40.712,95.57,89.424,89.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.358,44.574,3.1244,9.4515,7.8699,6.2857,0.8064211520302171,52.586,63.573,11.886,62.003,69.413,58.426,110.11,59.996,0.0,0.0,91.261,0.0,0.0,0.0,0.0,0.0
1.4888,5.8254,3.1735,9.5591,7.9304,6.3175,0.972385975798945,45.544,28.691,8.7662,92.247,76.455,93.308,113.23,29.752,0.0,0.0,11.826,0.0,0.0,0.0,0.0,0.17905
0.0,0.0,3.1634,9.4427,7.9281,6.3457,1.0,38.462,31.395,53.536,49.431,83.537,90.604,68.463,72.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7317,31.165,3.1554,9.5279,7.8619,6.3115,0.8591030789825971,49.024,27.507,12.765,96.894,72.975,94.492,109.23,25.105,0.0,0.0,63.598,0.0,0.00284,0.0,0.0,4.3901
18.153,73.197,3.1327,9.4111,7.8904,6.3392,0.7495145631067961,23.024,7.4382,77.685,90.737,98.975,114.56,44.314,31.262,0.0,145.68,0.0,0.0,0.0,0.0,1.654,3.2058
0.924,3.7439,3.1489,9.4128,7.8618,6.2922,0.9813624678663239,74.246,40.292,28.665,31.296,47.753,81.707,93.334,90.703,0.0,0.0,6.7376,1.6074,0.0,0.0,0.0,0.0
6.8631,27.095,3.123,9.4181,7.9105,6.2985,0.844559585492228,62.067,14.226,42.951,64.349,59.932,107.77,79.048,57.65,0.0,55.422,0.0,0.0,0.0,0.0,0.0,0.71063
0.0489,0.20658,3.1402,9.4714,7.9234,6.3375,1.0,53.433,27.538,11.514,80.477,68.566,94.461,110.48,41.522,0.0,0.0,0.41197,0.0,0.0,0.0,0.0,0.0
41.48,161.81,3.1575,9.5244,7.8918,6.3446,0.60921912624699,81.691,3.1411,45.32,98.362,40.308,118.85,76.679,23.637,0.0,302.18,0.0,0.0,14.326,0.0,0.0,25.999
21.189,84.12,3.1343,9.386,7.8511,6.2962,0.6318061088977424,38.076,2.9457,71.725,89.875,83.923,119.05,50.274,32.124,0.0,167.01,0.0,0.0,0.0,0.0,0.0,0.0
19.563,78.06,3.1514,9.4824,7.9178,6.2955,0.7694620781824256,93.362,15.701,6.378,85.483,28.637,106.29,115.62,36.516,0.0,4.7621,152.07,0.0,1.0306,0.0,0.0,0.0
37.979,148.54,3.1596,9.518,7.8662,6.2938,0.4725609756097561,56.461,4.3591,27.211,112.98,65.538,117.64,94.788,9.0135,0.0,161.12,0.00235,0.0,0.0,0.0,0.0,144.43
