avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
2.1367,8.4599,3.1353,9.4465,7.7964,6.2279,0.9546760293648261,90.972,83.103,64.236,26.671,14.027,21.896,40.763,78.328,0.0,0.0,0.0,0.55525,17.105,0.16511,0.0,0.0
0.51068,1.9968,3.1092,9.4263,7.7958,6.2723,0.9906270200387848,91.008,51.652,55.434,66.639,13.992,53.347,49.565,38.36,0.0,0.0,0.0,0.0,4.0222,0.0,0.0,0.0
0.64164,2.4873,3.1566,9.4582,7.9108,6.3469,0.9913964262078094,93.481,55.274,37.306,78.65,11.518,49.725,67.693,26.349,0.0,0.0,7.4224,0.0,4.5446,0.0,0.0,0.58733
1.9857,7.2289,3.1522,9.4004,7.8166,6.2506,0.95425048669695,80.708,37.023,56.507,90.503,24.291,67.976,48.492,14.496,0.0,0.0,0.0,0.0,1.8585,0.0,0.0,15.783
7.111,27.983,3.1415,9.3841,7.862,6.2983,0.8313447275072557,93.57,66.535,72.945,31.768,11.429,38.464,32.054,73.231,0.0,0.0,0.0,0.0,56.257,0.0,0.0,0.0
0.29417,1.14,3.1419,9.4517,7.8339,6.2495,0.9959145191703331,88.011,75.243,63.229,38.373,16.988,29.756,41.77,66.626,0.0,0.0,0.0,8.9414,0.37468,1.9374,0.0,0.0
39.545,158.72,3.143,9.3571,7.876,6.3011,0.420545746388443,89.268,15.889,103.14,74.687,15.731,89.11,1.8572,30.312,0.0,96.827,0.0,0.0,14.614,0.0,202.21,6.9343
39.299,149.61,3.1117,9.3377,7.7692,6.2234,0.5078605604921395,101.05,65.98,10.086,103.76,3.9478,39.019,94.913,1.2395,0.0,0.0,91.706,0.0,62.289,21.974,0.0,156.57
15.85,60.089,3.1288,9.4446,7.8173,6.2714,0.7466216216216216,91.942,20.271,53.563,98.79,13.057,84.728,51.436,6.2091,0.0,0.00369,0.0,0.0,33.365,0.0,0.0,94.126
0.08831,0.35021,3.1188,9.4037,7.7918,6.2919,0.9996827411167513,71.912,80.265,33.617,79.056,33.087,24.735,71.382,25.943,0.0,0.0,0.0,0.0,0.0,0.70175,0.0,0.0
42.246,166.17,3.1213,9.3848,7.8917,6.2605,0.4625042416016288,104.53,3.6735,69.893,95.173,0.46752,101.32,35.106,9.8265,0.0,48.91,0.0,0.0,230.93,0.0,0.0,57.608
3.9213,15.504,3.172,9.4793,7.9088,6.3365,0.8962479608482871,97.681,25.83,70.595,73.15,7.3186,79.169,34.404,31.849,0.0,14.407,0.0,0.0,16.397,0.0,0.0,0.00127
