avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
0.00125,0.00377,3.1451,9.4523,7.8719,6.2701,1.0,89.781,83.74,53.94,53.427,21.218,27.259,57.059,57.572,0.0,0.0,0.0,0.0,0.0,0.00741,0.0,0.0
45.973,181.09,3.1803,9.4993,7.9038,6.3455,0.4479442970822281,110.79,14.914,82.783,93.602,0.20344,96.085,28.216,17.397,0.0,117.8,0.0,0.0,132.27,0.0,9.3711,104.2
5.7457,23.183,3.1348,9.468,7.9264,6.3293,0.8327212020033389,104.65,45.624,41.311,89.13,6.3468,65.375,69.688,21.869,0.0,0.0,0.0,0.0,14.422,0.0,0.0,31.737
0.07725,0.31726,3.1538,9.4166,7.8429,6.2682,0.9993508601103538,79.285,42.237,65.735,93.481,31.714,68.762,45.264,17.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63145
2.8814,11.046,3.1045,9.2729,7.8577,6.226,0.9174884944115713,97.995,62.783,88.512,31.373,13.004,48.216,22.487,79.626,0.0,0.0,0.0,0.0,22.969,0.0,0.0,0.0
0.46606,1.7856,3.1263,9.4411,7.8531,6.2187,0.994256541161455,92.918,69.635,84.645,33.714,18.081,41.364,26.354,77.285,0.0,0.0,0.0,0.0,3.42,0.0,0.29894,0.0
1.6022,5.7915,3.1284,9.3639,7.8836,6.2288,0.9563074901445466,87.534,71.365,88.938,32.815,23.465,39.634,22.061,78.184,0.0,0.0,0.0,0.01753,11.998,0.0,0.0,0.0
39.867,158.95,3.1413,9.349,7.7766,6.2599,0.530185497470489,107.71,53.202,11.834,108.68,3.2853,57.797,99.165,2.3183,0.0,0.0,4.5352,0.0,279.51,0.0,0.0,42.882
5.0473,20.406,3.1562,9.4491,7.8713,6.2559,0.8531513970110461,96.428,14.714,73.497,101.04,14.571,96.285,37.502,9.9575,0.0,26.808,0.0,0.0,5.4969,0.0,0.0,7.6593
2.5313,9.7027,3.1459,9.4189,7.9263,6.3249,0.9337157425111536,62.894,93.12,28.033,96.962,48.105,17.879,82.966,14.037,0.0,0.0,0.89284,0.0,0.0,0.32598,0.0,18.783
10.321,40.761,3.1275,9.5085,7.9218,6.2598,0.7551758133420966,78.842,12.406,91.166,101.43,32.157,98.593,19.833,9.5649,0.0,17.074,0.0,0.0,0.54654,0.0,0.02523,64.287
12.317,47.4,3.1188,9.4318,7.9064,6.3045,0.7394822006472492,106.24,26.94,63.725,85.207,4.7567,84.059,47.274,25.792,0.0,7.1825,0.0,0.0,59.696,0.0,0.0,29.324
14.767,59.035,3.1612,9.456,7.9786,6.3798,0.7468193384223919,103.97,45.935,58.095,72.913,7.0217,65.064,52.904,38.086,0.0,0.0,0.0,0.0,118.67,0.0,0.0,0.0
24.324,93.475,3.1519,9.4157,7.906,6.3034,0.5966688438928804,67.805,48.295,54.054,110.5,43.194,62.704,56.945,0.49812,0.0,7.8474,0.0,0.0,0.0,0.0,0.0,191.1
51.724,197.64,3.1448,9.5483,7.9591,6.3369,0.5459405278984296,106.88,93.643,8.2655,97.271,4.1147,17.356,102.73,13.728,0.0,0.0,142.95,0.0,88.77,13.74,0.0,157.91
18.098,69.793,3.1203,9.3959,7.8755,6.2781,0.6924123851650221,92.313,59.078,24.568,105.63,18.686,51.921,86.431,5.3649,0.0,0.0,5.5937,0.0,117.6,0.0,0.0,24.485
8.2712,31.882,3.1247,9.4035,7.8117,6.2965,0.8346945442665795,90.151,12.338,80.906,103.72,20.848,98.661,30.093,7.2759,0.0,33.041,0.0,0.0,0.66467,0.0,0.0,32.305
9.4999,37.915,3.1403,9.3659,7.8838,6.2815,0.8186015831134564,104.2,20.552,67.801,88.142,6.7906,90.447,43.198,22.857,0.0,0.0,0.0,0.0,55.36,0.0,0.0,25.315
7.1918,28.726,3.2188,9.5851,7.8768,6.3616,0.7973539851565021,102.74,70.007,46.093,62.014,8.2533,40.992,64.906,48.985,0.0,0.0,0.0,0.0,58.497,0.0,0.0,0.0
3.0255,11.514,3.1433,9.4588,7.8349,6.3436,0.9253543307086615,64.519,86.923,36.551,92.908,46.48,24.076,74.448,18.091,0.0,0.0,0.00139,0.0,0.0,0.0,0.0,23.475
