avg WaitTime,TotalWaitTime,D->A,C->D,B->C,A->B,happy/total,SpaceA,SpaceB,SpaceC,SpaceD,BikeA,BikeB,BikeC,BikeD,Q_A_SpaceWait,Q_B_SpaceWait,Q_C_SpaceWait,Q_D_SpaceWait,Q_A_BikeWait,Q_B_BikeWait,Q_C_BikeWait,Q_D_BikeWait
17.238,70.645,3.1392,9.5211,7.8825,6.2381,0.7735659174773566,93.257,64.126,18.091,41.485,32.743,61.873,107.9,84.514,0.0,0.0,143.19,2.3487,1.1446,0.0,0.0,0.0
4.0545,16.521,3.1458,9.5551,7.919,6.3007,0.9002858050174659,105.53,25.216,10.614,53.465,20.469,100.78,115.38,72.534,0.0,2.2969,29.746,0.0,0.63612,0.0,0.0,0.0
7.2805,27.987,3.1337,9.4771,7.9412,6.3554,0.8841789052069426,89.188,17.012,33.823,60.992,36.811,108.98,92.176,65.007,0.0,56.65,0.0,0.0,0.0658,0.0,0.0,0.0
11.48,45.836,3.132,9.4282,7.8245,6.2577,0.8005215123859192,64.861,13.998,39.645,85.914,61.138,112.0,86.354,40.085,0.0,86.174,0.0,0.0,0.0,0.0,0.0,5.4193
1.0641,4.3883,3.1354,9.3357,7.8551,6.2543,0.9846153846153847,82.732,47.823,41.814,16.636,43.267,78.176,84.185,109.36,0.0,0.0,0.0,0.20826,8.3766,0.0,0.0,0.0
0.00101,0.00476,3.1493,9.4223,7.8321,6.2728,1.0,67.011,37.879,63.166,21.039,58.988,88.12,62.833,104.96,0.0,0.0,0.0,0.00938,0.0,0.0,0.0,0.0
0.30511,1.3243,3.1584,9.3821,7.8266,6.2935,0.9977628635346756,55.163,64.784,53.752,15.635,70.836,61.215,72.247,110.36,0.0,0.0,0.00377,2.6665,0.0,0.0,0.0,0.0
1.2985,5.1447,3.1164,9.3368,7.8268,6.2193,0.9723878255412614,82.639,38.957,8.993,60.211,43.36,87.042,117.0,65.788,0.0,0.0,10.121,0.0,0.0,0.0,0.0,0.0
9.1585,37.188,3.1497,9.5327,7.8894,6.3184,0.8051349572086899,43.309,19.348,29.289,103.17,82.69,106.65,96.71,22.825,0.0,4.6675,26.981,0.0,0.0,0.0,0.0,43.239
13.112,50.861,3.1491,9.4041,7.8941,6.307,0.7437883188125202,21.016,97.472,6.2071,82.2,104.98,28.527,119.79,43.799,0.80728,0.0,96.017,0.0,0.0,5.525,0.0,0.49403
2.3018,9.1273,3.1605,9.4611,7.9313,6.2899,0.9386257505003336,44.161,8.4543,46.108,92.989,81.838,117.54,79.891,33.01,0.0,17.115,0.0,0.0,0.0,0.0,0.0,1.2288
8.6126,35.385,3.1639,9.6482,7.9473,6.3214,0.8330550918196995,98.012,17.501,18.858,66.072,27.987,108.49,107.14,59.927,0.0,2.5614,64.272,0.0,4.8447,0.0,0.0,0.0
2.6611,10.646,3.1466,9.4273,7.9015,6.2932,0.9240986717267552,89.525,20.141,39.436,43.769,36.474,105.85,86.563,82.23,0.0,20.451,0.0,0.0,0.0,0.0,0.0,0.0
